cue,start_sec,end_sec,dur_sec,vad3_speech_ratio,vad1_speech_ratio,onset_delta_sec,timecode_confidence,flags,text_head
55,660.07,667.44,7.37,0.741,0.76,0.02,높음,,저게 약간 귀신 귀신이라고 하기엔 좀 애매하고 귀신 비슷한 거긴 해요
56,667.59,672.16,4.57,0.722,0.84,0.06,높음,,그 뭐지 제가 이번에 영화 백룸을 보고 왔거든요
57,672.31,677.52,5.21,0.524,0.678,0.02,중간,,이것도 백룸에서 탈출하는 게임인데
58,677.64,688.16,10.52,0.385,0.499,0.06,중간,overlong,이 백룸 안에 있는 엔티티라는 존재입니다 아씨
59,688.36,690.44,2.08,0.476,0.519,0.02,중간,,아씨 개무섭네
60,690.59,696.4,5.81,0.176,0.208,0.1,낮음,no_speech_detected,아 근데 사다리가 어딨지
61,696.57,698.8,2.23,0.566,0.794,0.06,중간,,아 나를 보고 따라온 건 아니겠지
62,698.95,702.28,3.33,0.396,0.495,0.05,중간,,야 나 뭐야 어두워
63,702.43,707.2,4.77,0.151,0.187,0.08,낮음,no_speech_detected,라이드도 없어
64,707.35,713.96,6.61,0.431,0.495,0.05,중간,,아 이건 뭐야 아씨 나 내 그림자 보고 오싹했네 지금
65,714.11,723.32,9.21,0.202,0.265,0.01,낮음,no_speech_detected,이건 뭐예요 열쇠 뭐야 열쇠도 있어
66,723.47,727.16,3.69,0.358,0.409,0.04,중간,,어 신분증을 봤는데
67,727.53,733.32,5.79,0.689,0.865,-0.18,중간,,나 너무 무서운데 이거 스테이지 1에서 그냥 끝낼 것 같은데요 저
68,733.62,736.32,2.7,0.1,0.156,0.03,낮음,no_speech_detected,어떡하죠
69,736.42,746.48,10.06,0.561,0.602,0.08,중간,overlong,아 근데 갑자기 핸드폰에 왜 불이 들어오냐 핸드폰이 왜 갑자기 켜지냐 켜
70,746.58,754.48,7.9,0.786,0.958,-0.03,높음,8s_padding,거야 아 나 무섭네 나 무섭네 공기계가 제가 책상 안쪽에 공기가 있는데
71,754.72,774.0,19.28,0.284,0.395,-0.13,낮음,overlong;no_speech_detected,화면이 막 하얘지면서 화면이 들어왔어요 아 근데 이 소리 좀 어떻게 안
72,774.22,782.11,7.88,0.357,0.758,-0.1,중간,8s_padding,그리고 다른 공간에 한번 찾으러 가봅시다 저쪽 공간에는 아무.
73,782.16,781.44,-0.72,0.0,0.0,-0.66,낮음,broken_duration;no_speech_detected,.
74,781.49,787.88,6.39,0.549,0.588,0.01,중간,,아씨 왜 이렇게 달리기 왜 이렇게 빨라 아니 달리기 왜 이렇게 짧아
75,788.13,806.52,18.39,0.254,0.318,-0.12,낮음,overlong;no_speech_detected,무섭네 괴물도 막 움직이고 다니는 거 아니겠지 아니 여기에 사다리가 어딨
76,806.57,825.44,18.87,0.352,0.441,0.49,중간,overlong,라이트는 줘야지 너무한 거 아니야 손전등이라도 줘야죠 이거 손전등 아이템
77,829.32,837.32,8.0,0.0,0.0,-3.99,낮음,8s_padding;onset_off;no_speech_detected,아무것도 없네 먹어야 되는 거네
78,846.23,860.45,14.22,0.561,0.762,-0.11,중간,overlong,어 문이다 어 나 소리 질렀어 너무 찐텐으로 아 이렇게 되는구만 이제 적
79,860.45,871.88,11.43,0.604,0.871,1.3,중간,overlong;onset_off,적응했습니다 별거 아니네 뭐 게임 다시 하면 되는거지 개쫄았네 고무줄이요
80,880.04,900.8,20.76,0.213,0.364,-2.51,낮음,overlong;onset_off;no_speech_detected,저 사실 개쫄아가지고 제대로 보지도 못했어요 그냥 뛰는 건 좀 아껴놔야
81,900.8,915.2,14.4,0.39,0.496,-0.05,중간,overlong,사다리가 어딨는거야 아니 이게 맵이 다 똑같이 생겨가지고 뭐가 뭔지 구분
82,915.2,921.28,6.08,0.684,0.837,-0.02,중간,,와 개 무섭다 근데 진짜 와 자고 일어났는데 이런 데서 깨어나면 어떤 기
83,921.77,936.96,15.19,0.155,0.269,-0.83,낮음,overlong;no_speech_detected,어 사다리다 어 사다리 사다리 일단 구석에 들어가서
84,937.11,941.88,4.77,0.428,0.522,-0.06,중간,,인벤토리를 열어서 어 사다리 먹었잖아요
85,948.22,955.02,6.8,0.004,0.053,-2.74,낮음,onset_off;no_speech_detected,사다리 어딨어요 어디갔지
86,955.19,966.2,11.01,0.292,0.49,-0.2,낮음,overlong;no_speech_detected,아니 사다리 먹었는데 잠깐만 근데 사다리 어디갔어 인벤토리 아이 1 2
87,971.0,978.4,7.4,0.216,0.25,0.04,낮음,no_speech_detected,몰라 일단 해봐 사다리 저 두개가 끝인가
88,978.55,990.32,11.77,0.488,0.551,-0.25,중간,overlong,어디로 가야되는거야 아마 제 생각에는 맵은 고정일 것 같고 괴물이랑 저의
89,990.72,998.72,8.0,0.393,0.52,-2.82,중간,8s_padding;onset_off,지정되는 시기일 것 같아요 안 그러면 너무 공약이라는게 생길
90,999.14,1009.32,10.18,0.54,0.764,0.79,중간,overlong,수 있고 좀 지루해질 수 있어서 한번 해봤던 사람도 재미가 있으려면 어느
91,1015.5,1028.8,13.3,0.348,0.553,0.03,중간,overlong,아 무서워요 이걸로 여는거 아니에요 이거 뭘로 열어요 못 여는건가봐 열쇠
92,1035.7,1042.6,6.9,0.206,0.239,0.08,낮음,no_speech_detected,아씨 아 공포게임 하는 느낌인데 지금
93,1042.72,1059.88,17.16,0.439,0.528,-0.22,중간,overlong,아니 괴물 숨소리 같은거라도 좀 내주면 안되나 그러면 보지 않고 그냥 멀
94,1060.03,1071.8,11.77,0.684,0.814,-0.22,중간,overlong,나는 클락이다 쟤는 나를 죽이지 않을거야 나는 클락이야 어디까지 돌아다녀
95,1084.52,1092.52,8.0,0.005,0.178,-6.38,낮음,8s_padding;onset_off;no_speech_detected,무서워죽겠는데 아 이거 너무 쫄린다 아 닭살 돋아요 지금
96,1093.53,1101.38,7.85,0.236,0.404,-1.05,낮음,onset_off;no_speech_detected,전자레인지 소리만 어떻게 안되나 아 나 이런 소리 좀 안났으면 좋겠어
97,1102.68,1107.8,5.12,0.59,0.9,0.06,중간,,안녕하세요 실바님 반갑습니다 아니 방금 문 두드리는 소리만
98,1127.16,1135.16,8.0,0.349,0.81,3.06,중간,8s_padding;onset_off,오오오오오오오오오오오오오오오오오오오
99,1146.66,1154.66,8.0,0.514,0.671,-1.95,중간,8s_padding;onset_off,하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하 하
100,1158.54,1165.94,7.4,0.777,0.814,0.06,높음,,하 하 하 하 하 하 하 하 하 하 하 하 하 와 이게 영화라서 내가 평
101,1167.3,1175.3,8.0,0.576,0.734,1.56,중간,8s_padding;onset_off,이 세계 안에 들어오면 절대 평온할 수가 없네요 와 근데 소리지르고 달려
102,1181.61,1192.64,11.03,0.441,0.696,0.0,중간,overlong,것밖에 없는데 또 개무섭네 어디있지 지금 아 씨 어 스패님 반갑습니다 아
103,1195.07,1207.16,12.09,0.5,0.676,-0.47,중간,overlong,아 씨 열쇠 아닌데 아까 사다리를 사다리를 사다리를 만들어야 된다 그랬는
104,1208.44,1220.22,11.78,0.609,0.806,0.02,중간,overlong,와 근데 소름돋잖아 이 여름 이 저녁에 어 여기있다 아 사다리 세번째 사
105,1223.99,1234.9,10.91,0.371,0.51,2.2,중간,overlong;onset_off,이거 뭐야 끝이야 어 와 열쇠다 아 이제 문으로 가야되는거야 아 오케이
106,1235.0,1245.15,10.15,0.709,0.807,0.01,중간,overlong,하 하 아니 혼자 하니까 아 밤에 저 지금 불 꺼 놓고 있거든요 제 방에
107,1245.15,1254.34,9.19,0.454,0.764,0.96,중간,,꺼먹게 해놓고 혼자 하고 있는데 개무섭습니다 여러분 채팅 좀 많이 쳐주세
108,1254.39,1260.62,6.23,0.915,0.995,0.06,높음,,아니 나 영화 뺏는 보고 어 뭐야 저거 뭐 리미널 스페이스 뭐 별거 아니
109,1260.87,1267.22,6.35,0.581,0.773,-0.09,중간,,아 씨 간도 크게 아 씨 뺏는 게임 해봐야지 벌써 시작했는데
110,1267.38,1275.38,8.0,0.705,0.929,-0.03,높음,8s_padding,나 이렇게 무서운건지 몰랐어 잠깐만 흐흐흐흐흐 나 개쫄려
111,1280.07,1293.62,13.55,0.653,0.967,1.08,중간,overlong;onset_off,문 어딨어 문 어딨어 제가 마우스 떨리는거 보이세요 나 죽겠네 지금 진짜
112,1293.72,1310.46,16.74,0.468,0.772,0.03,중간,overlong,하 어 여기 아까 첫번째 시작했던데 나 그죠 어 이제 약간 방구조가 약간
113,1312.58,1316.34,3.76,0.37,0.545,-0.05,중간,,아니야 아는 아 이쪽이었던 것 같은데
114,1321.23,1327.82,6.59,0.46,0.528,0.06,중간,,엥? 이게 어디야? 어 아 이거 종이가 여기저기 붙어 있구나
115,1329.37,1332.22,2.85,0.8,0.982,0.08,높음,,아 이게 이 백룸이 헷갈리는게 이런거에요
116,1332.5,1346.02,13.52,0.691,0.802,-0.2,중간,overlong,비슷한 구조들이 종종 있어서 그 방향감각이나 공간감각 같은걸 좀 으으으으
117,1348.63,1352.54,3.91,0.606,1.0,0.02,중간,,아 다 구했는데 열쇠 구했는데
118,1352.69,1364.16,11.47,0.456,0.767,-0.05,중간,overlong,하 잠깐만 열쇠 없어졌겠지 아 씨 아 이제 적응했어 아 적응했습니다
119,1364.23,1374.62,10.38,0.477,0.728,0.04,중간,overlong,저 맨 처음에 저 괴물 만났을때 소리지르면서 도망갔거든요 이제 차분하게
120,1376.07,1383.17,7.1,0.696,0.907,0.06,중간,,제 스스로에게 마법의 주문을 걸면서 차분하게 한 번 깨보겠습니다 차분하게
121,1385.02,1390.34,5.32,0.393,1.0,-0.88,중간,,꿀지마 어차피 상대방은 게임속 NPC일 뿐이야 꿀지마 현실을 찾았게
122,1397.47,1412.02,14.55,0.565,0.697,0.08,중간,overlong,발견만 빨리하고 아 근데 나 아까 방향을 왜 잘못 도망갔지 바로 뒤도 도
123,1413.74,1418.82,5.08,0.614,0.626,0.1,중간,,그럼 열쇠도 내가 들고 있단 소리야? 근데 인벤톨이 없는데 열쇠가
124,1419.24,1424.82,5.58,0.656,0.763,-0.33,중간,,이건 좀 불편하네 이 게임이 어디까지 진행됐는지를 내가 알 수가 없네요
125,1425.0,1432.9,7.9,0.558,0.699,0.06,중간,8s_padding,일단은 그래도 그 진행한거는 유지를 해주나봐요 이제 그 문만 찾으면 되겠
126,1434.2,1440.22,6.02,0.42,0.914,-0.02,중간,,김시복 쏠지마 쏠지마 NPC야 어?
127,1446.64,1451.9,5.26,0.154,0.437,0.05,낮음,no_speech_detected,나 무서운거 어떡해 무서운건 무서운거지
128,1454.03,1470.33,16.3,0.502,0.664,0.04,중간,overlong,내가 개발자라면 여기까지 진행된 사람이 있잖아요 그러면 그 사람한테는 마
129,1471.58,1476.54,4.96,0.449,0.661,-0.47,중간,,나 안열었는데? 아 열쇠를 먹어서 얘가 열려있는거야?
130,1477.98,1486.9,8.92,0.336,0.511,0.09,중간,,어? 뭐야 어 뭐야 어?
131,1488.5,1492.54,4.04,0.304,0.364,0.1,중간,,뭐 어떻게 하는거야 이거? 떨어졌어?
132,1492.64,1497.42,4.78,0.188,0.232,0.01,낮음,no_speech_detected,응? 이거 뭐에요?
133,1498.2,1502.66,4.46,0.155,0.249,0.03,낮음,no_speech_detected,뭐야 갑자기 여기서 어?
134,1502.71,1505.3,2.59,0.22,0.336,0.08,낮음,no_speech_detected,올라가야돼?
135,1506.25,1518.18,11.93,0.487,0.658,-0.79,중간,overlong,흐흐흐흐흐 흐흐흐 아 나 빨리 나가고 싶어 화살표 따라가면 되는거야?
136,1522.82,1525.62,2.8,0.218,0.486,-0.2,낮음,no_speech_detected,화살표 따라가면 되나?
137,1531.07,1536.42,5.35,0.678,0.858,0.04,중간,,아니 전자레인지 소리좀 어떻게 해주세요
138,1540.72,1544.34,3.62,0.398,0.478,0.02,중간,,아니 이 화살표 믿어도 되는거야 근데?
139,1550.99,1554.54,3.55,0.304,0.38,0.07,중간,,여긴 뭐야? 어 여긴가?
140,1557.04,1558.08,1.04,0.662,0.913,0.05,중간,,이거 뭐야?
141,1559.21,1575.6,16.39,0.436,0.635,1.93,중간,overlong;onset_off,어 계단 나왔다 여기 있진 않겠지? 아 소리 쏟으기나 소리 내지 마세요
142,1576.01,1579.86,3.85,0.436,0.678,-1.34,중간,onset_off,아무것도 없어? 저 원래 공폭게임 이런거 못해요
143,1580.26,1582.42,2.16,0.0,0.19,-2.65,낮음,onset_off;no_speech_detected,무서워서
144,1583.27,1590.87,7.6,0.316,0.482,0.07,중간,,어 라이트다 라이트 어떻게 쓰죠 라이트 이렇게?
145,1592.87,1597.95,5.09,0.16,0.619,-1.4,중간,onset_off,오케이 아 똑똑똑 하지 마세요 어?
146,1601.35,1604.56,3.21,0.63,0.807,0.62,중간,,깠다 아 뭐야 떨어져야 깨지는거야?
147,1604.61,1614.46,9.85,0.509,0.887,-0.15,중간,,0레벨이였어 심지어 와 1레벨도 아니고 0레벨이야 어떻게 튜토리얼을 이거
148,1614.75,1619.33,4.58,0.661,0.928,0.03,중간,,이렇게 가면? 다시 0으로 돌아가?
149,1619.38,1626.02,6.64,0.583,0.902,1.31,중간,onset_off,아 그러네 아 원래는 이렇게 위로 와도 되는거구나 이건 뭐야?
150,1626.07,1628.54,2.47,0.17,0.194,0.05,낮음,no_speech_detected,밧줄?
151,1628.66,1634.1,5.44,0.38,0.7,1.0,중간,,아? 이거 밧줄을 연결하면 여기서 밧줄을 내려줄수도 있나?
152,1634.67,1637.26,2.59,0.162,0.336,0.06,낮음,no_speech_detected,그런건가봐요
153,1639.92,1642.02,2.1,0.0,0.186,3.45,낮음,onset_off;no_speech_detected,오케이
154,1643.31,1647.74,4.43,0.512,0.993,0.06,중간,,아 무섭다 아우 턱살 돋았어
155,1648.34,1653.82,5.48,0.275,0.77,0.01,중간,,자 들어가 봅시다 여기는 뭔가요?
156,1658.71,1660.78,2.07,0.019,0.551,-0.91,중간,,어?
157,1666.16,1668.58,2.42,0.644,0.934,0.04,중간,,이거 뭔데?
158,1670.88,1677.58,6.7,0.443,0.875,-0.09,중간,,어 뭐야 열렸어 열렸어?
159,1679.32,1681.42,2.1,0.251,1.0,-0.1,중간,,뭔데?
160,1688.47,1692.06,3.59,0.309,0.808,0.05,중간,,어 이거 더럽다 거리는거 개무서워
161,1693.79,1697.66,3.87,0.553,0.654,-0.29,중간,,아 누구랑 같이 할걸 잠깐만 끝난거야?
162,1697.71,1699.74,2.03,0.753,0.975,0.05,높음,,뭐야?
163,1700.59,1712.34,11.75,0.594,0.913,-1.99,중간,overlong;onset_off,뭐야? 아 끝난건 아니고? 아몬드물을 통해 정신력을 회복할 수 있습니다
164,1713.35,1719.46,6.11,0.615,0.941,-0.14,중간,,아 뭐야 이거? 안무서워 안무서워 하나도 안무섭죠?
165,1719.71,1725.34,5.63,0.394,0.819,0.01,중간,,끼고 다녀야지? 안무섭지만 끼면 끼고 다녀야겠다
166,1732.12,1739.34,7.22,0.601,0.938,-0.85,중간,,어 잠깐만 심신의 안정을 찾자 야 시커먼 지하주차장 돌아다녀라니까 무섭네
167,1739.49,1741.58,2.09,0.13,1.0,-0.03,중간,,휴
168,1741.73,1745.74,4.01,0.838,1.0,0.01,높음,,무서워
169,1756.96,1761.74,4.78,0.657,1.0,0.02,중간,,이거 돌아다니면서 유튜브에서 본 것 같다 열쇠 찾는거
170,1765.11,1767.18,2.07,0.536,1.0,0.0,중간,,어 뭐야 열쇠
171,1768.08,1771.9,3.82,0.887,0.919,0.0,높음,,어 뭐야
172,1776.87,1782.18,5.31,0.746,0.932,0.06,높음,,아 생긴게 달라졌어 아 잠깐만
173,1793.23,1795.86,2.63,0.407,1.0,-2.41,중간,onset_off,무서워
174,1797.31,1809.7,12.39,0.721,0.942,-0.82,중간,overlong,저 한 시간만 하고 끌래요 이거 못하겠다 제가 못하겠어요 저 이거 한 시
175,1814.78,1822.78,8.0,0.695,0.869,-0.11,중간,8s_padding,근데 어쨌든 이게 아까 그 0번째 스테이지에서 했던걸 보면
176,1825.99,1831.95,5.96,0.497,0.919,-0.43,중간,,한 번 마셔봐도 뭐야 깡통을 던졌어?
177,1832.96,1834.3,1.34,0.0,1.0,-1.43,중간,onset_off,분방진 자식
178,1836.35,1846.58,10.23,0.516,0.885,0.07,중간,overlong,어쨌든 돌아다니면서 열쇠를 하나씩 먹고 하면 저장은 해 주는 것 같거든요
179,1846.58,1859.62,13.04,0.63,0.926,0.07,중간,overlong,그러니까 막 붙잡히고 하면서도 결국은 계속 돌아다니면서 이 맵에 익숙해지
180,1870.37,1877.06,6.69,0.86,0.892,0.04,높음,,근데 아까 그 아까 스테이지에서 막 전자레인지 소리 나던 그 소리는 안
181,1877.26,1884.86,7.6,0.65,1.0,1.79,중간,onset_off,여긴 또 여기대로 아 뭐가 자꾸 삐그덕거리는 소리가 나서 무서워
182,1885.6,1888.82,3.22,0.298,0.77,0.05,중간,,누가 삐그덕삐그덕거려요
183,1889.46,1891.94,2.48,0.0,0.29,-3.81,낮음,onset_off;no_speech_detected,개무섭네
184,1897.91,1910.1,12.19,0.244,0.724,0.07,중간,overlong,아 근데 후레쉬 어딨어 잠깐만 저깄다 저깄다 저거 잖아요 저거 그죠 어떻
185,1910.27,1912.74,2.47,0.206,0.534,0.07,중간,,어 일로 온다
186,1914.66,1920.34,5.68,0.29,0.926,0.09,중간,,아니 나 절로 간다 일로 가고 있어 난 반대로 가야지
187,1925.48,1935.9,10.42,0.625,1.0,0.01,중간,overlong,이게 뭐야 여기 아까 왔던 데 같은데 아 이거 왔던 데네 아무것도 없는데
188,1936.07,1938.86,2.79,0.293,0.659,-0.11,중간,,안되지 없지
189,1940.51,1948.95,8.44,0.668,0.957,0.01,중간,,쟤가 그 사무실 근처를 막 배회하고 돌아다니나 보다 쫙 끝에 있는데 지금
190,1949.56,1958.02,8.46,0.813,1.0,0.32,높음,,나 봤는데? 나한테 온다 나한테 온다 나한테 와 나한테 와
191,1960.55,1976.86,16.31,0.554,0.827,0.01,중간,overlong,나한테 오잖아 나한테 오잖아 나 놀랐나?
192,1986.39,1994.34,7.95,0.57,1.0,0.06,중간,8s_padding,아 저기있어 저기있어 저기있어 저기있어 저기있어 저기있어
193,1996.83,2002.34,5.51,0.354,0.724,0.03,중간,,아 저기있어 어떻게 해야되지 어떻게 해야되지
194,2008.28,2013.72,5.44,0.46,0.939,-0.2,중간,,여기 가야될 것 같은데 여기 아까 안간 것 같은데 여기 안왔죠?
195,2017.22,2021.03,3.8,0.951,1.003,0.19,높음,,이거 봐 아몬드 물도 있고 아 근데 후레쉬는 왜 없어졌냐?
196,2021.13,2030.94,9.81,0.468,0.67,2.01,중간,onset_off,후레쉬 안 눌러줘요 후레쉬 왜 안나와? 후레쉬 어딨어? 후레쉬 없어졌어
197,2031.04,2036.1,5.06,0.516,0.931,0.05,중간,,후레쉬 다시 먹어야 되나봐 아 그러네
198,2038.71,2041.62,2.91,0.35,1.0,0.03,중간,,바로 옆에 왔나봐요
199,2041.99,2044.58,2.59,0.309,0.873,-0.04,중간,,발소리인가봐
200,2048.56,2055.84,7.28,0.388,0.625,0.08,중간,,발소리인가봐 철푸덕 철푸덕 하는 이상한 소리 들었죠?
201,2055.95,2057.82,1.88,0.008,0.835,-1.1,중간,onset_off,저만 들은거 아니죠?
202,2058.72,2063.51,4.79,0.407,0.775,-0.0,중간,,쿱 오픈 어? 이게 출근가?
203,2063.56,2071.62,8.06,0.555,0.963,0.29,중간,8s_padding,아 여기가 출근가봐 열쇠를 찾아서 여기다 넣고 뭘 해야되나봐요
204,2072.64,2081.36,8.72,0.361,0.581,0.05,중간,,아 잠깐만 하나 둘 셋 넥애네 지나갔나?
205,2082.86,2084.5,1.64,0.28,0.817,-0.59,중간,,지나갔나?
206,2084.74,2087.7,2.96,0.821,1.0,0.05,높음,,아 나 봤어! 쟤가 나 봤어!
207,2096.63,2102.18,5.55,0.849,1.0,-0.32,높음,,야 따라온다 야 여기서 멈추면 어떡해 뛰어 뛰어! 뛰어!
208,2102.49,2115.74,13.25,0.27,0.871,-1.11,중간,overlong;onset_off,너 죽어 뛰어 빨리 잠깐만 일단 뛰어 괜찮아 괜찮아 괜찮을거야 그래 다
209,2119.84,2126.57,6.73,0.779,0.929,0.02,높음,,잠깐만 이거 게임인거 아는데도 무섭다 아 저기있어!
210,2126.67,2129.3,2.63,0.479,0.65,-2.25,중간,onset_off,저기있어!
211,2134.64,2137.54,2.9,0.49,0.897,0.04,중간,,미치겠네 진짜
